id,text,expected,predicted,expected_ambiguous,predicted_ambiguous,exact_match,valid_schema,confidence,reason
1,もっと明るくして,"{""emotion"": ""happy"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
2,悲しい雰囲気にして,"{""emotion"": ""sad"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
3,もっと盛り上げて,"{""emotion"": ""keep"", ""energy"": ""H"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
4,少し落ち着かせて,"{""emotion"": ""keep"", ""energy"": ""L"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
5,ドラムを入れて,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""on"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
6,ドラムを消して,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""off"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
7,ベースを足して,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""on"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
8,メロディを消して,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""off"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
9,伴奏を入れて,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""on"", ""reverb"": ""keep"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
10,もっと響かせて,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""0.8"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
11,響きを少なくして,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""0.2"", ""inst"": ""keep""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
12,もっと激しい楽器にして,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""inst2""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
13,普通の楽器に戻して,"{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""inst1""}","{""emotion"": ""keep"", ""energy"": ""keep"", ""drum"": ""keep"", ""bass"": ""keep"", ""lead"": ""keep"", ""back"": ""keep"", ""reverb"": ""keep"", ""inst"": ""keep""}",false,true,false,true,0.0,OPENAI_API_KEY is not set. LLM parser was skipped.
